Date,High,Low,Open,Close,Volume,Adj Close,direction,prevclose
10-12-2012,34.79999924,34.18000031,34.43000031,34.56999969,929800,34.56999969,Up,34.16999817
11-12-2012,35.5,34.45999908,34.59999847,35.27999878,1572600,35.27999878,Up,34.56999969
14-12-2012,34.40000153,33.59000015,33.77999878,33.81000137,1023000,33.81000137,Up,33.61000061
17-12-2012,34.5,33.75,33.77000046,34.40000153,824900,34.40000153,Up,33.81000137
18-12-2012,35.06999969,34.25999832,34.25999832,34.59000015,1553900,34.59000015,Up,34.40000153
19-12-2012,35.25999832,34.52000046,34.75,34.61000061,1298800,34.61000061,Up,34.59000015
24-12-2012,34.34999847,33.54999924,33.63999939,34.27999878,375800,34.27999878,Up,34
27-12-2012,33.90999985,33,33.5,33.68999863,561100,33.68999863,Up,33.59000015
31-12-2012,33.97000122,33,33,33.86999893,594900,33.86999893,Up,33.22000122
02-01-2013,35.45000076,34.70999908,35,35.36000061,1194800,35.36000061,Up,33.86999893
14-01-2013,33.38000107,32.84999847,33.08000183,33.25999832,925100,33.25999832,Up,32.90999985
15-01-2013,34.25,33.08000183,33.11000061,33.90000153,1624200,33.90000153,Up,33.25999832
16-01-2013,34.22999954,33.72999954,33.84999847,34.09999847,1378200,34.09999847,Up,33.90000153
17-01-2013,34.84999847,33.91999817,34.15999985,34.38000107,1436700,34.38000107,Up,34.09999847
18-01-2013,34.77999878,33.81999969,34.74000168,34.52000046,3555100,34.52000046,Up,34.38000107
22-01-2013,35.54999924,34.25999832,34.56000137,35.18999863,1920200,35.18999863,Up,34.52000046
23-01-2013,36.24000168,34.95999908,35.02000046,36,1564300,36,Up,35.18999863
24-01-2013,37.72000122,35.84000015,36,36.99000168,1970400,36.99000168,Up,36
28-01-2013,38.70999908,36.86000061,36.86000061,38.02999878,1986000,38.02999878,Up,36.97999954
01-02-2013,38.5,37.61999893,38.16999817,38.29999924,1100600,38.29999924,Up,37.50999832
05-02-2013,38.65000153,37.68000031,38,38.13000107,1310200,38.13000107,Up,37.74000168
06-02-2013,39.38999939,37.90000153,38.18000031,39.16999817,1893200,39.16999817,Up,38.13000107
07-02-2013,39.68000031,38.95000076,39.18999863,39.47999954,1196600,39.47999954,Up,39.16999817
13-02-2013,39,38.04999924,38.29999924,38.45000076,966800,38.45000076,Up,37.88999939
19-02-2013,39.29000092,37.31000137,37.36000061,39.27999878,2701400,39.27999878,Up,37.04000092
22-02-2013,36.38999939,35.59999847,35.72000122,36.11000061,2547300,36.11000061,Up,35.15999985
26-02-2013,34.95999908,33.79999924,34.45999908,34.43000031,2762900,34.43000031,Up,34.38000107
27-02-2013,35.40999985,34.40000153,34.40999985,35.09999847,1959200,35.09999847,Up,34.43000031
04-03-2013,35.83000183,34.70000076,34.77000046,35.58000183,1757700,35.58000183,Up,34.65000153
05-03-2013,36.91999817,35.79000092,36,36.65000153,2087000,36.65000153,Up,35.58000183
06-03-2013,37.88000107,36.97000122,37.00999832,37.68999863,1150000,37.68999863,Up,36.65000153
07-03-2013,38.65000153,36.88000107,37.72999954,38.22999954,1158300,38.22999954,Up,37.68999863
08-03-2013,39.43999863,37.36000061,38.06000137,38.47000122,912100,38.47000122,Up,38.22999954
11-03-2013,39.43999863,38.65000153,38.86999893,39.09999847,1579500,39.09999847,Up,38.47000122
12-03-2013,39.38000107,38.84999847,38.90000153,39.11999893,1275100,39.11999893,Up,39.09999847
20-03-2013,36.06999969,35.15999985,35.25999832,35.95000076,1423000,35.95000076,Up,35.08000183
21-03-2013,37.06000137,35.74000168,35.95000076,36.00999832,1146300,36.00999832,Up,35.95000076
22-03-2013,36.79999924,36.20000076,36.20000076,36.61999893,440200,36.61999893,Up,36.00999832
25-03-2013,38.52000046,36.77000046,37.09999847,37.52999878,2378800,37.52999878,Up,36.61999893
26-03-2013,38.22000122,37.65999985,37.97999954,37.86000061,1808200,37.86000061,Up,37.52999878
27-03-2013,38.38000107,37.31000137,37.93999863,38.15999985,1296300,38.15999985,Up,37.86000061
01-04-2013,46.68000031,41.70000076,42.36000061,43.93000031,14098500,43.93000031,Up,37.88999939
02-04-2013,45.5,43.50999832,43.59999847,44.34000015,6652400,44.34000015,Up,43.93000031
04-04-2013,42.25,40.81000137,41.11000061,42.00999832,2264800,42.00999832,Up,41.09999847
08-04-2013,42.54999924,41.50999832,41.97000122,41.83000183,1679000,41.83000183,Up,41.36999893
10-04-2013,42.00999832,40.61000061,40.70000076,41.86000061,2121100,41.86000061,Up,40.5
11-04-2013,44.54999924,41.75,42.06000137,43.59000015,3447400,43.59000015,Up,41.86000061
12-04-2013,45.13999939,43.04999924,43.25,43.75,3149400,43.75,Up,43.59000015
16-04-2013,46.13999939,43.90999985,44.18999863,45.59000015,3180400,45.59000015,Up,43.29999924
18-04-2013,47.59999847,45.38999939,45.97999954,46.97000122,3367900,46.97000122,Up,45.45000076
19-04-2013,49.88000107,47.06999969,47.45999908,47.83000183,3011700,47.83000183,Up,46.97000122
22-04-2013,50.20000076,47.75,48.59999847,50.18999863,3939400,50.18999863,Up,47.83000183
23-04-2013,52.91999817,50.65999985,51,51.00999832,3733800,51.00999832,Up,50.18999863
25-04-2013,52.40000153,50.5,50.5,52,2795900,52,Up,50.43000031
29-04-2013,54.99000168,51.20000076,51.75999832,54.93999863,3639700,54.93999863,Up,51.20000076
02-05-2013,55.27000046,53.70000076,53.84999847,54.11000061,3050400,54.11000061,Up,53.27999878
03-05-2013,56.47000122,54.5,56.47000122,54.54999924,3378700,54.54999924,Up,54.11000061
06-05-2013,59.65999985,55.5,56.38999939,59.5,4366700,59.5,Up,54.54999924
08-05-2013,58.20000076,55.70999908,57.5,55.79000092,6769900,55.79000092,Up,55.50999832
09-05-2013,75.76999664,63.68999863,70.12000275,69.40000153,28605000,69.40000153,Up,55.79000092
10-05-2013,81,69.25,69.65000153,76.76000214,25082600,76.76000214,Up,69.40000153
13-05-2013,88,79.15000153,80.98999786,87.80000305,22416900,87.80000305,Up,76.76000214
15-05-2013,86.87999725,78.11000061,81.80000305,84.83999634,16878700,84.83999634,Up,83.23999786
16-05-2013,95,88.66000366,94.69999695,92.25,21614000,92.25,Up,84.83999634
23-05-2013,93.01000214,83.05000305,84.80999756,92.73000336,12022200,92.73000336,Up,87.23999786
24-05-2013,97.94999695,92,92.59999847,97.08000183,16124200,97.08000183,Up,92.73000336
28-05-2013,110.75,100.3000031,101.5500031,110.3300018,19691900,110.3300018,Up,97.08000183
30-05-2013,109.5400009,101.1999969,102.4599991,104.9499969,16133700,104.9499969,Up,104.6299973
04-06-2013,96.41999817,92.40000153,92.75,94.83999634,8856100,94.83999634,Up,92.58999634
05-06-2013,97.97000122,89.11000061,93.66000366,95.37000275,12224800,95.37000275,Up,94.83999634
06-06-2013,99.26999664,95.11000061,95.25,97.34999847,9510900,97.34999847,Up,95.37000275
07-06-2013,102.9000015,96.69999695,98,102.0400009,10711600,102.0400009,Up,97.34999847
12-06-2013,100.4800034,95.75,96.80000305,97.73000336,9192700,97.73000336,Up,94.47000122
13-06-2013,99.27999878,95.12000275,99,98.18000031,5961600,98.18000031,Up,97.73000336
14-06-2013,102.5199966,99.33000183,100,100.3000031,6564700,100.3000031,Up,98.18000031
17-06-2013,104.75,101.1999969,103.5999985,102.1999969,7066200,102.1999969,Up,100.3000031
18-06-2013,103.9800034,99.19999695,101.75,103.3899994,8795300,103.3899994,Up,102.1999969
19-06-2013,106.6699982,102.0100021,102.0599976,104.6800003,8578900,104.6800003,Up,103.3899994
24-06-2013,102.8700027,95.30000305,96.5,101.4899979,7119800,101.4899979,Up,99.55000305
25-06-2013,104.1999969,100.5500031,103.0999985,102.4000015,5848700,102.4000015,Up,101.4899979
26-06-2013,105.8700027,102.6600037,103.8000031,105.7200012,6602600,105.7200012,Up,102.4000015
27-06-2013,110.25,106.1299973,106.75,109.25,8744900,109.25,Up,105.7200012
01-07-2013,117.7699966,109.1500015,109.3600006,117.1800003,10903600,117.1800003,Up,107.3600006
02-07-2013,121.8899994,115.5,118.25,117.8199997,12064100,117.8199997,Up,117.1800003
05-07-2013,120.2799988,115.6999969,118.3199997,120.0899963,6818700,120.0899963,Up,115.2399979
08-07-2013,122.1800003,118.8199997,121.3700027,121.6100006,7814200,121.6100006,Up,120.0899963
09-07-2013,125.3199997,121.9100037,124.6399994,123.4499969,8603300,123.4499969,Up,121.6100006
11-07-2013,126.0899963,122.3499985,124.8799973,125.6100006,7483600,125.6100006,Up,122.2699966
12-07-2013,129.9400024,124.5100021,125.5,129.8999939,11344000,129.8999939,Up,125.6100006
17-07-2013,121.6200027,104.5,106.5199966,120.25,26029000,120.25,Up,109.0500031
19-07-2013,120.5500031,116.5100021,118.5,119.6800003,5890300,119.6800003,Up,119.0299988
22-07-2013,126.6800003,119.8799973,119.8899994,122.4300003,9797800,122.4300003,Up,119.6800003
23-07-2013,125.5599976,121.8199997,124,122.7399979,7736400,122.7399979,Up,122.4300003
25-07-2013,124.75,120.1900024,120.4000015,124.0699997,5284300,124.0699997,Up,121.6999969
26-07-2013,130.6799927,126.6100006,128.1399994,129.3899994,9633100,129.3899994,Up,124.0699997
29-07-2013,135.3699951,128.25,129.3200073,134.6199951,9678900,134.6199951,Up,129.3899994
31-07-2013,134.9700012,131.4499969,132.5700073,134.2799988,6351700,134.2799988,Up,131.7400055
01-08-2013,136.5200043,132.6300049,135,135.5500031,5323600,135.5500031,Up,134.2799988
02-08-2013,138.25,133.6100006,134.5899963,138,6269900,138,Up,135.5500031
05-08-2013,144.8899994,139.6499939,140.0099945,144.6799927,10200700,144.6799927,Up,138
08-08-2013,158.8800049,150.4600067,154.3500061,153.4799957,27246800,153.4799957,Up,134.2299957
15-08-2013,143.6000061,135,136.4299927,139.6699982,10179200,139.6699982,Up,139.3600006
16-08-2013,143.9100037,140.9700012,141.6300049,142,7108100,142,Up,139.6699982
19-08-2013,147.3800049,142.8300018,143.4299927,144.8999939,8037700,144.8999939,Up,142
20-08-2013,149.7799988,147,148.6499939,149.5800018,6418200,149.5800018,Up,144.8999939
22-08-2013,157.4799957,148.1399994,149.2200012,157.1000061,10592400,157.1000061,Up,147.8600006
23-08-2013,162.3000031,155,157,161.8399963,12931900,161.8399963,Up,157.1000061
26-08-2013,173,160.25,165.1499939,164.2200012,24171100,164.2200012,Up,161.8399963
27-08-2013,168.8000031,160.9499969,162.3000031,167.0099945,17566900,167.0099945,Up,164.2200012
30-08-2013,169.2100067,163.9600067,166.3699951,169,11028400,169,Up,166.0599976
04-09-2013,171.6199951,165.5599976,169.7700043,170.6199951,11475700,170.6199951,Up,168.9400024
10-09-2013,167.5,160.6300049,161.4499969,166.3699951,8967800,166.3699951,Up,160.6999969
12-09-2013,166.7599945,160.5099945,164,164.9299927,6160000,164.9299927,Up,163.5200043
13-09-2013,166.3699951,162.1600037,162.7700043,165.5399933,5401200,165.5399933,Up,164.9299927
16-09-2013,170.8500061,165.8500061,168,166.5800018,7574900,166.5800018,Up,165.5399933
19-09-2013,180.4700012,169.0800018,170.8000031,177.9199982,15594600,177.9199982,Up,166.2200012
20-09-2013,185.8300018,178.5599976,178.8999939,183.3899994,13401700,183.3899994,Up,177.9199982
24-09-2013,184.9600067,177.6499939,179.1399994,182.3300018,6273400,182.3300018,Up,181.1100006
25-09-2013,186.3000031,180.5,183.5599976,185.2400055,8252700,185.2400055,Up,182.3300018
26-09-2013,189.6799927,185.6100006,186.6999969,188.6399994,6614400,188.6399994,Up,185.2400055
27-09-2013,191.2799988,186.4299927,187.5200043,190.8999939,5916400,190.8999939,Up,188.6399994
30-09-2013,194.5,188,189,193.3699951,8924700,193.3699951,Up,190.8999939
04-10-2013,181.1799927,172.6499939,176.3999939,180.9799957,14414000,180.9799957,Up,173.3099976
07-10-2013,186.7299957,180.2599945,182.4600067,183.0700073,11485600,183.0700073,Up,180.9799957
10-10-2013,175.75,169.6900024,173.0899963,172.9299927,8883900,172.9299927,Up,168.7799988
11-10-2013,179.2899933,171.1999969,172.75,178.6999969,8311100,178.6999969,Up,172.9299927
14-10-2013,182.5,174.1499939,175,179.7200012,7769600,179.7200012,Up,178.6999969
15-10-2013,188.7899933,183.1799927,185.2799988,183.9400024,10978500,183.9400024,Up,179.7200012
18-10-2013,185.9600067,182.5200043,184.1499939,183.3999939,5930800,183.3999939,Up,182.8000031
24-10-2013,174.5,162.8300018,165,173.1499939,10825700,173.1499939,Up,164.5
29-10-2013,165.4499969,153,162.7599945,164.4700012,14111700,164.4700012,Up,162.8600006
31-10-2013,162.4400024,153.3000031,155.6699982,159.9400024,9333800,159.9400024,Up,159.2200012
01-11-2013,165.8999939,160.4100037,163,162.1699982,7180600,162.1699982,Up,159.9400024
04-11-2013,175.3899994,164.2200012,165,175.1999969,13120400,175.1999969,Up,162.1699982
05-11-2013,181.4299927,171.3600006,180,176.8099976,22467100,176.8099976,Up,175.1999969
11-11-2013,145.4199982,137.1000061,141,144.6999969,13997600,144.6999969,Up,137.9499969
13-11-2013,142.3699951,136.3399963,140.8399963,138.6999969,12658300,138.6999969,Up,137.8000031
19-11-2013,129,119.2200012,119.4300003,126.0899963,19816200,126.0899963,Up,121.5800018
21-11-2013,124.7900009,120.25,122.8899994,122.0999985,11903800,122.0999985,Up,121.1100006
27-11-2013,126.9499969,119.5199966,121.3099976,126.9400024,12367600,126.9400024,Up,120.5
29-11-2013,130.5899963,126.9800034,129.7700043,127.2799988,9716200,127.2799988,Up,126.9400024
